date_fetched,fetched_at,event_id,ts_start,tourney,surface,p1,p2,wu,wv,bookmaker_id,bookmaker_name,p1_odds,p2_odds,p1_opening,p2_opening
2026-05-04,2026-05-04T06:01:19Z,jaewVO43,1777892400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Martin Manzano J. C.,Droguet T.,martin-manzano-juan-cruz,droguet-titouan,851,BetMGM.us,6.25,1.1,6.5,1.09
2026-05-04,2026-05-04T06:01:19Z,rcUu045T,1777892400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Pellegrino A.,Gaston H.,pellegrino-andrea,gaston-hugo,851,BetMGM.us,1.98,1.78,1.98,1.78
2026-05-04,2026-05-04T06:01:19Z,EaB5GPkA,1777897800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Bondioli F.,Nava E.,bondioli-federico,nava-emilio,851,BetMGM.us,4.5,1.18,4.33,1.19
2026-05-04,2026-05-04T06:01:19Z,OCgoT2ZF,1777897800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Kovacevic A.,Carboni L.,kovacevic-aleksandar,carboni-lorenzo,851,BetMGM.us,1.5,2.45,1.48,2.54
2026-05-04,2026-05-04T06:01:19Z,GSaq9srp,1777897800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Landaluce M.,O'Connell C.,landaluce-martin,o-connell-christopher,851,BetMGM.us,1.55,2.35,1.62,2.2
2026-05-04,2026-05-04T06:01:19Z,2oNWs5qo,1777897800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Mochizuki S.,Fearnley J.,mochizuki-shintaro,fearnley-jacob,851,BetMGM.us,2.25,1.6,2.2,1.62
2026-05-04,2026-05-04T06:01:19Z,Q1ci2ZUa,1777897800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Prizmic D.,Rodesch C.,prizmic-dino,rodesch-chris,851,BetMGM.us,1.19,4.4,1.24,3.8
2026-05-04,2026-05-04T06:01:19Z,6Z7cIoLc,1777903200,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Hijikata R.,Basile P.,hijikata-rinky,basile-pierluigi,851,BetMGM.us,1.21,4.1,1.19,4.4
2026-05-04,2026-05-04T06:01:19Z,WxPgKS7r,1777903200,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Moller E.,Basilashvili N.,moeller-elmer,basilashvili-nikoloz,851,BetMGM.us,1.62,2.2,1.62,2.2
2026-05-04,2026-05-04T06:01:19Z,Iyfq4e0m,1777903200,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Piros Z.,Rocha H.,piros-zsombor,rocha-henrique,851,BetMGM.us,1.65,2.15,1.62,2.2
2026-05-04,2026-05-04T06:01:19Z,EuLBfrTj,1777906800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Vallejo D.,Faria J.,vallejo-daniel,faria-jaime,851,BetMGM.us,1.36,2.95,1.48,2.54
2026-05-04,2026-05-04T06:01:19Z,fDDZyhZp,1777881600,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Jeanjean L.,Parry D.,jeanjean-leolia,parry-diane,851,BetMGM.us,1.75,2.0,1.75,2.0
2026-05-04,2026-05-04T06:01:19Z,GOPelMO7,1777881600,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Krueger A.,Bartunkova N.,krueger-ashlyn,bartunkova-nikola,851,BetMGM.us,1.91,1.83,1.8,1.95
2026-05-04,2026-05-04T06:01:19Z,ppiFlVIj,1777881600,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Potapova A.,Begu I.,potapova-anastasia,begu-irina,851,BetMGM.us,1.15,5.0,1.17,4.6
2026-05-04,2026-05-04T06:01:19Z,jeLkA3oR,1777881600,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Salkova D.,Kraus S.,salkova-dominika,kraus-sinja,851,BetMGM.us,2.7,1.42,2.6,1.45
2026-05-04,2026-05-04T06:01:19Z,jLjHDxhJ,1777887000,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,De Stefano S.,Snigur D.,samira-de-stefano,snigur-daria,851,BetMGM.us,3.8,1.24,3.5,1.28
2026-05-04,2026-05-04T06:01:19Z,2c7ydDQG,1777887000,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Pedone G.,Waltert S.,georgia-pedone,waltert-simona,851,BetMGM.us,5.5,1.12,6.0,1.11
2026-05-04,2026-05-04T06:01:19Z,QcN3sEBN,1777887000,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Ruse G.,Dodin O.,ruse-elena-gabriela,dodin-oceane,851,BetMGM.us,1.03,9.75,1.03,9.75
2026-05-04,2026-05-04T06:01:19Z,p4s9ACuA,1777887000,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Sasnovich A.,Grabher J.,sasnovich-aliaksandra,grabher-julia,851,BetMGM.us,1.36,2.95,1.3,3.3
2026-05-04,2026-05-04T06:01:19Z,j39th4Pr,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Arango E.,Basiletti N.,arango-emiliana,basiletti-noemi,851,BetMGM.us,1.19,4.33,1.19,4.4
2026-05-04,2026-05-04T06:01:19Z,pKLmodCb,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Birrell K.,Yuan Y.,birrell-kimberly,yuan-yue-1998,851,BetMGM.us,2.15,1.65,2.15,1.65
2026-05-04,2026-05-04T06:01:19Z,4pngJtOs,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Korneeva A.,Seidel E.,korneeva-alina,seidel-ella,851,BetMGM.us,1.8,1.95,1.8,1.95
2026-05-04,2026-05-04T06:01:19Z,Cjq1CYAc,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Osorio C.,Kalinina A.,osorio-serrano-maria-camila,kalinina-anhelina,851,BetMGM.us,1.91,1.83,1.85,1.9
2026-05-04,2026-05-04T06:01:19Z,t88y1a8D,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Parks A.,Galfi D.,parks-alycia,galfi-dalma,851,BetMGM.us,2.54,1.48,2.4,1.53
2026-05-04,2026-05-04T06:01:19Z,Ys5T2Lw1,1777892400,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Tagger L.,Lamens S.,tagger-lilli,lamens-suzan,851,BetMGM.us,1.25,3.7,1.33,3.1
2026-05-04,2026-05-04T06:01:19Z,rVHsCPGE,1777897800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Blinkova A.,Sherif M.,blinkova-anna,sherif-mayar,851,BetMGM.us,2.0,1.75,1.91,1.83
2026-05-04,2026-05-04T06:01:19Z,n70LaeRi,1777897800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Jimenez Kasintseva V.,Sun L.,jimenez-kasintseva-victoria,radovcic-lulu,851,BetMGM.us,2.0,1.75,2.1,1.67
2026-05-04,2026-05-04T06:01:19Z,rBRmjrfe,1777897800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Vandewinkel H.,Teichmann J.,van-de-winkel-hanne,teichmann-jil,851,BetMGM.us,1.48,2.54,1.48,2.54
2026-05-04,2026-05-04T06:01:19Z,zB5qfieT,1777897800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Zarazua R.,Urgesi F.,zarazua-renata,urgesi-federica,851,BetMGM.us,1.17,4.6,1.18,4.5
2026-05-04,2026-05-04T06:01:19Z,Ask1HKhf,1777903200,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Semenistaja D.,Volynets K.,semenistaja-darja,volynets-katie,851,BetMGM.us,2.25,1.6,2.25,1.6
2026-05-04,2026-05-04T06:01:19Z,Y1eNO20K,1777906800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Masarova R.,Uchijima M.,masarova-rebeka,uchijima-moyuka,851,BetMGM.us,1.85,1.9,1.9,1.85
2026-05-04,2026-05-04T06:01:19Z,IXJeqzsB,1777906800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Pavlyuchenkova A.,Erjavec V.,pavlyuchenkova-anastasia,erjavec-veronika,851,BetMGM.us,1.45,2.6,1.57,2.3
2026-05-04,2026-05-04T06:01:19Z,fX3TcZe4,1777906800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Ricci B.,Korpatsch T.,ricci-beatrice,korpatsch-tamara,851,BetMGM.us,6.0,1.11,6.0,1.11
2026-05-04,2026-05-04T06:01:19Z,nR6L4s9l,1777906800,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Townsend T.,Sramkova R.,townsend-taylor,sramkova-rebecca,851,BetMGM.us,1.67,2.1,1.62,2.2
2026-05-05,2026-05-05T05:52:39Z,0jh7oxbK,1777968000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Carreno-Busta P.,Wawrinka S.,carreno-busta-pablo,wawrinka-stan,851,BetMGM.us,1.42,2.75,1.57,2.3
2026-05-05,2026-05-05T05:52:39Z,xIlwlG1S,1777968000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Comesana F.,Riedi L.,comesana-francisco,riedi-leandro,851,BetMGM.us,1.5,2.5,1.57,2.3
2026-05-05,2026-05-05T05:52:39Z,dr1QEwNr,1777968000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Garin C.,Choinski J.,garin-cristian,choinski-jan,851,BetMGM.us,1.34,3.1,1.42,2.7
2026-05-05,2026-05-05T05:52:39Z,8bpnwegm,1777968000,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Merida Aguilar D.,Barrios Vera T.,daniel-merida-aguilar,barrios-vera-marcelo-tomas,851,BetMGM.us,1.48,2.54,1.53,2.4
2026-05-05,2026-05-05T05:52:39Z,fFh5MUOi,1777973400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Dellien H.,De Jong J.,dellien-hugo,de-jong-jesper,851,BetMGM.us,2.1,1.67,2.2,1.62
2026-05-05,2026-05-05T05:52:39Z,tnssQ5V8,1777973400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Kypson P.,Droguet T.,kypson-patrick,droguet-titouan,851,BetMGM.us,2.4,1.53,2.2,1.62
2026-05-05,2026-05-05T05:52:39Z,ddKsdpqm,1777973400,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Svrcina D.,Budkov Kjaer N.,svrcina-dalibor,budkov-kjaer-nicolai,851,BetMGM.us,1.8,1.95,1.8,1.95
2026-05-05,2026-05-05T05:52:39Z,CCE7UwZ7,1777978800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Kovacevic A.,Fearnley J.,kovacevic-aleksandar,fearnley-jacob,851,BetMGM.us,2.35,1.55,2.1,1.67
2026-05-05,2026-05-05T05:52:39Z,Cx8JueOP,1777978800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Landaluce M.,Pellegrino A.,landaluce-martin,pellegrino-andrea,851,BetMGM.us,1.65,2.15,1.57,2.3
2026-05-05,2026-05-05T05:52:39Z,2wqeS8Pr,1777978800,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Prizmic D.,Bondioli F.,prizmic-dino,bondioli-federico,851,BetMGM.us,1.12,5.75,1.11,6.0
2026-05-05,2026-05-05T05:52:39Z,vgauRY2d,1777984200,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Faria J.,Llamas Ruiz P.,faria-jaime,llamas-ruiz-pablo,851,BetMGM.us,2.15,1.65,1.98,1.78
2026-05-05,2026-05-05T05:52:39Z,APJHyxEG,1777984200,"ATP - SINGLES: Rome (Italy) - Qualification, clay",clay,Hijikata R.,Basilashvili N.,hijikata-rinky,basilashvili-nikoloz,851,BetMGM.us,2.3,1.57,2.15,1.65
2026-05-05,2026-05-05T05:52:39Z,nTyt4Oc3,1777971600,"WTA - SINGLES: Rome (Italy), clay",clay,Krejcikova B.,Jacquemot E.,krejcikova-barbora,jacquemot-elsa,549,bet365.us,1.53,2.5,1.44,2.75
2026-05-05,2026-05-05T05:52:39Z,nTyt4Oc3,1777971600,"WTA - SINGLES: Rome (Italy), clay",clay,Krejcikova B.,Jacquemot E.,krejcikova-barbora,jacquemot-elsa,851,BetMGM.us,1.5,2.54,1.53,2.45
2026-05-05,2026-05-05T05:52:39Z,jcnZhbk2,1777973400,"WTA - SINGLES: Rome (Italy), clay",clay,Bondar A.,Zheng Q.,bondar-anna,zheng-qinwen,549,bet365.us,3.0,1.4,2.38,1.57
2026-05-05,2026-05-05T05:52:39Z,jcnZhbk2,1777973400,"WTA - SINGLES: Rome (Italy), clay",clay,Bondar A.,Zheng Q.,bondar-anna,zheng-qinwen,851,BetMGM.us,2.8,1.42,2.9,1.4
2026-05-05,2026-05-05T05:52:39Z,M3a9XjNO,1777973400,"WTA - SINGLES: Rome (Italy), clay",clay,Marcinko P.,Oliynykova O.,petra-marcinko,oliynykova-oleksandra,549,bet365.us,1.73,2.1,1.67,2.2
2026-05-05,2026-05-05T05:52:39Z,M3a9XjNO,1777973400,"WTA - SINGLES: Rome (Italy), clay",clay,Marcinko P.,Oliynykova O.,petra-marcinko,oliynykova-oleksandra,851,BetMGM.us,1.67,2.15,1.67,2.15
2026-05-05,2026-05-05T05:52:39Z,rXrRfKKk,1777977000,"WTA - SINGLES: Rome (Italy), clay",clay,Kenin S.,Andreescu B.,kenin-sofia,andreescu-bianca,549,bet365.us,2.0,1.8,2.0,1.8
2026-05-05,2026-05-05T05:52:39Z,rXrRfKKk,1777977000,"WTA - SINGLES: Rome (Italy), clay",clay,Kenin S.,Andreescu B.,kenin-sofia,andreescu-bianca,851,BetMGM.us,2.05,1.75,2.1,1.72
2026-05-05,2026-05-05T05:52:39Z,ptwRkYxg,1777978800,"WTA - SINGLES: Rome (Italy), clay",clay,Kessler M.,Bronzetti L.,kessler-mccartney,bronzetti-lucia,851,BetMGM.us,1.48,2.6,1.5,2.55
2026-05-05,2026-05-05T05:52:39Z,ptwRkYxg,1777978800,"WTA - SINGLES: Rome (Italy), clay",clay,Kessler M.,Bronzetti L.,kessler-mccartney,bronzetti-lucia,549,bet365.us,1.5,2.63,1.4,3.0
2026-05-05,2026-05-05T05:52:39Z,I3vLG1s9,1777978800,"WTA - SINGLES: Rome (Italy), clay",clay,Ruzic A.,Rakhimova K.,ruzic-antonia,rakhimova-kamilla,851,BetMGM.us,1.95,1.83,1.95,1.83
2026-05-05,2026-05-05T05:52:39Z,I3vLG1s9,1777978800,"WTA - SINGLES: Rome (Italy), clay",clay,Ruzic A.,Rakhimova K.,ruzic-antonia,rakhimova-kamilla,549,bet365.us,1.91,1.91,1.8,2.0
2026-05-05,2026-05-05T05:52:39Z,ddb0ioEc,1777982400,"WTA - SINGLES: Rome (Italy), clay",clay,Zakharova A.,Yastremska D.,zakharova-anastasia,yastremska-dayana,851,BetMGM.us,3.1,1.36,3.1,1.36
2026-05-05,2026-05-05T05:52:39Z,ddb0ioEc,1777982400,"WTA - SINGLES: Rome (Italy), clay",clay,Zakharova A.,Yastremska D.,zakharova-anastasia,yastremska-dayana,549,bet365.us,3.2,1.36,2.75,1.44
2026-05-05,2026-05-05T05:52:39Z,h6tZmC75,1777984200,"WTA - SINGLES: Rome (Italy), clay",clay,Sonmez Z.,Ruggeri J.,sonmez-zeynep,ruggeri-jennifer,851,BetMGM.us,1.11,6.25,1.11,6.25
2026-05-05,2026-05-05T05:52:39Z,h6tZmC75,1777984200,"WTA - SINGLES: Rome (Italy), clay",clay,Sonmez Z.,Ruggeri J.,sonmez-zeynep,ruggeri-jennifer,549,bet365.us,1.14,5.5,1.13,6.0
2026-05-05,2026-05-05T05:52:39Z,0jOb9JZr,1777984200,"WTA - SINGLES: Rome (Italy), clay",clay,Trevisan M.,Gibson T.,trevisan-martina,gibson-talia,851,BetMGM.us,2.3,1.6,2.45,1.53
2026-05-05,2026-05-05T05:52:39Z,0jOb9JZr,1777984200,"WTA - SINGLES: Rome (Italy), clay",clay,Trevisan M.,Gibson T.,trevisan-martina,gibson-talia,549,bet365.us,2.38,1.57,1.91,1.91
2026-05-05,2026-05-05T05:52:39Z,4M18kPrA,1777987800,"WTA - SINGLES: Rome (Italy), clay",clay,Li A.,Zhang S.,li-ann,zhang-shuai,549,bet365.us,1.33,3.4,1.29,3.75
2026-05-05,2026-05-05T05:52:39Z,4M18kPrA,1777987800,"WTA - SINGLES: Rome (Italy), clay",clay,Li A.,Zhang S.,li-ann,zhang-shuai,851,BetMGM.us,1.28,3.6,1.34,3.2
2026-05-05,2026-05-05T05:52:39Z,SYuLyj6S,1777968000,"WTA - SINGLES: Rome (Italy) - Qualification, clay",clay,Galfi D.,Grabher J.,galfi-dalma,grabher-julia,851,BetMGM.us,1.33,3.1,1.33,3.1
